2.04,2.07,2.64,1.047,D
2.19,2.08,2.51,1.0598,D
2.09,1.99,2.7,1.0499,H
2.59,2.1,2.09,1.0552,H
2.46,2.1,2.22,1.0604,A
2.12,1.95,2.71,1.0504,D
2.42,2.06,2.3,1.0604,D
2.37,2.08,2.33,1.0596,D
2.75,1.98,2.05,1.0478,A
2.7,2.04,2.04,1.0502,H
2.09,1.99,2.7,1.0499,A
2.07,2,2.71,1.0487,A
2.1,2.08,2.6,1.055,A
2.6,2,2.18,1.0551,D
2.6,1.93,2.25,1.0535,A
2.31,1.89,2.58,1.0521,A
2.55,1.98,2.25,1.0553,H
2.54,2,2.24,1.0561,H
2.39,1.91,2.48,1.055,A
2.29,1.94,2.55,1.0544,A
2.6,1.96,2.22,1.0524,A
2.1,2.13,2.55,1.0559,D
2.6,2.18,2,1.0551,D
2.6,2.05,2.13,1.0543,A
2.21,1.93,2.64,1.0512,A
2.13,2.1,2.55,1.0559,A
2.6,2.08,2.1,1.055,A
2.56,2.11,2.11,1.0554,A
2.6,1.9,2.28,1.0519,A
2.64,1.93,2.21,1.0512,H
2.59,1.95,2.24,1.0548,A
2.55,1.98,2.25,1.0553,H
2.22,2.01,2.49,1.0593,D
2.42,2.12,2.24,1.06,A
2.45,2.08,2.26,1.06,H
2.55,2.05,2.19,1.0591,A
2.81,1.98,2,1.0472,A
2.28,2.02,2.49,1.061,A
2.3,2.03,2.46,1.0593,A
2.77,2.01,2.01,1.0505,D
2.55,2.05,2.19,1.0591,A
2.46,2,2.33,1.0603,D
2.17,2.09,2.53,1.0494,A
2.38,1.99,2.42,1.0614,H
2.17,2.11,2.51,1.0603,A
2.38,2.03,2.38,1.0595,H
2.34,2.03,2.42,1.0598,H
2.38,2.03,2.38,1.0595,A
2.42,2.03,2.34,1.0598,D
2.54,2.04,2.21,1.0603,D
2.15,2.1,2.54,1.0597,A
2.09,1.93,2.77,1.0495,D
2.01,2.01,2.77,1.0505,H
1.96,2.08,2.75,1.0485,D
2.12,1.91,2.76,1.0471,H
2.52,2.09,2.18,1.0599,A
2.55,2.05,2.19,1.0591,D
2.3,2.01,2.48,1.06,H
2.1,2.04,2.65,1.0558,H
2.72,2.15,1.92,1.0506,A
2.19,1.94,2.66,1.054,A
2.54,1.93,2.32,1.0556,D
2.26,2.19,2.34,1.0649,H
2.65,1.92,2.22,1.0522,H
2.15,1.93,2.71,1.0516,A
2.24,1.99,2.56,1.0551,H
2.38,1.99,2.42,1.0614,H
2.32,1.92,2.55,1.0561,D
2.61,1.92,2.26,1.0542,D
2.32,2,2.47,1.0575,D
2.71,1.93,2.15,1.0516,A
2.15,1.93,2.71,1.0516,A
2.34,2.26,2.19,1.0649,H
2.71,1.93,2.15,1.0516,D
2.44,1.86,2.49,1.0556,A
2.66,2.05,2.08,1.0555,A
2.19,1.94,2.66,1.053,A
2.78,2.02,2,1.0505,H
2.61,2,2.19,1.0601,H
2.04,1.99,2.77,0.8052,D
2.78,2,2.02,1.05,H
2.41,1.98,2.41,1.0601,A
2.56,2.01,2.23,1.0596,H
2.31,1.97,2.52,1.0602,H
2.78,2.02,2,1.0505,D
2.78,2,2.02,1.0505,A
2.17,2.06,2.57,1.061,D
2.38,2.04,2.38,1.0644,D
2.4,2.04,2.36,1.0639,H
2.16,1.92,2.72,1.0525,A
2.72,1.9,2.18,1.0524,D
2.27,2.11,2.42,1.0652,H
2.22,1.92,2.66,1.0548,D
2.71,1.91,2.18,1.0524,H
2.7,1.89,2.21,1.0516,D
2.6,2.05,2.15,1.0543,H
2.56,1.91,2.33,1.0559,H
2.72,1.92,2.16,1.0525,H
2.72,2,2.08,1.0544,H
2.24,2.14,2.42,1.0654,D
2.61,1.89,2.3,1.0532,A
2.09,2.14,2.57,1.0604,A
2.71,1.88,2.21,1.0481,H
2.3,1.99,2.51,1.0595,D
2.72,2.05,2.03,1.054,H
2.18,2.01,2.61,1.0587,A
2.51,2.01,2.28,1.0601,H
2.55,2.03,2.22,1.0592,A
2.56,2.03,2.21,1.0607,A
2.28,2.01,2.51,1.0601,A
2.56,2.01,2.23,1.0596,A
2.72,2.05,2.03,1.055,D
2.05,1.9,2.85,1.0448,A
2.51,2.28,2.01,1.0601,D
2.63,1.86,2.31,1.0541,A
2.42,2.11,2.28,1.0643,H
2.72,2.03,2.05,1.055,D
2.72,2.03,2.05,1.055,A
2.42,2.03,2.35,1.0627,A
